id;baggage_id;weight;status;qr_code
1;Hong Kong;64759;back-end auxiliary HTTP;Automotive enable Missouri
2;COM framework cross-media;21278;Interactions;channels Electronics deposit
3;port Connecticut;39654;B2C;Beauty mindshare yellow
4;card Re-engineered Dam;96721;withdrawal Liaison;payment
5;azure regional;82298;Springs;Public-key Cordoba Oro Auto Loan Account
6;logistical Berkshire;51229;Technician Practical Plastic Chips;infrastructures HTTP Lights
7;back up SMTP connect;4485;navigate;Checking Account disintermediate system
8;Awesome;68394;web services bypassing Group;Unbranded Frozen Fish monitor
9;Rubber Netherlands Antillian Guilder;14294;mindshare Fish;Fresh
10;Virginia XSS;74392;ability;Personal Loan Account
